Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"19 May 2026"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;5.40;5.40;4.664;4.706;" 16:25";CET;1065903;5176371.51;4.706;
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.685;1.755;1.65;1.75;" 16:10";CET;124717;210200.51;1.75;
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;136.00;136.00;136.00;136.00;" 14:15";CET;13;1768.00;136.00;
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;7.07;7.14;7.04;7.11;" 16:25";CET;195407;1386143.67;7.11;
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;10.50;10.50;10.35;10.50;" 16:25";CET;21162;221313.10;10.50;
"ACE DIGITAL";NO0013531616;ACED;"Euronext Growth Oslo";NOK;0.50;0.63;0.474;0.595;" 14:16";CET;41163;21261.28;0.595;
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2.32;2.58;2.32;2.40;" 14:45";CET;1394;3293.52;2.40;
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;180.20;182.60;179.40;182.00;" 16:26";CET;66409;12016404.10;182.00;
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;22.50;22.50;22.00;22.40;" 16:25";CET;33146;741917.40;22.40;
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;14.28;14.58;13.74;13.84;" 16:25";CET;952434;13328464.36;13.84;
AKER;NO0010234552;AKER;"Oslo Børs";NOK;1236.00;1274.00;1234.00;1272.00;" 16:25";CET;129598;163583594.00;1272.00;
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;104.00;106.80;101.00;105.60;" 16:25";CET;17712;1851400.80;105.60;
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;352.50;357.30;347.90;355.70;" 16:28";CET;1402181;496546592.40;355.70;
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;45.00;45.76;44.88;45.50;" 16:25";CET;1043513;47397864.90;45.50;
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;1.59;1.61;1.565;1.61;" 16:25";CET;41513;65758.09;1.61;
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;133.50;133.50;133.00;133.00;" 16:25";CET;630;84018.00;133.00;
"ANDFJORD SALMON GR";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;27.50;27.90;27.00;27.00;" 16:25";CET;11505;318373.20;27.00;
APPEAR;NO0013683821;APR;"Oslo Børs";NOK;74.00;74.00;72.20;72.60;" 16:25";CET;19509;1420680.60;72.60;
"AQUA BIO TECHNO";NO0013735894;ABTEC;"Euronext Expand Oslo";NOK;5.38;5.38;5.38;5.38;" 15:06";CET;230;1237.40;5.38;
ARCHER;BMG0451H2087;ARCH;"Oslo Børs";NOK;27.85;28.30;27.45;28.15;" 16:25";CET;122123;3399172.70;28.15;
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;3.40;3.40;3.04;3.24;" 16:25";CET;38496;121286.30;3.24;
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;32.00;32.20;28.00;28.00;" 16:25";CET;3253;104084.00;28.00;
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;20.90;20.90;20.10;20.20;" 16:25";CET;19250;392783.10;20.20;
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;180.50;184.00;179.00;180.00;" 16:25";CET;3351;606194.50;180.00;
"ARRIBATEC GROUP";NO0013682948;ARR;"Oslo Børs";NOK;7.64;7.74;7.54;7.66;" 16:26";CET;239461;1833688.76;7.66;
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;156.80;158.40;156.00;158.40;" 16:25";CET;87793;13844654.20;158.40;
"ATLANTIC SAPPHI TR";NO0013340802;ASAS;"Oslo Børs";NOK;0.10;0.10;0.10;0.10;" 09:00";CET;5000;500.00;0.10;
"ATLANTIC SAPPHIRE";NO0013464750;ASA;"Oslo Børs";NOK;2.665;2.70;2.06;2.22;" 16:25";CET;345541;788141.54;2.22;
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;259.90;259.90;259.00;259.00;" 14:29";CET;10;2591.80;259.00;
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;93.50;94.70;92.70;94.60;" 16:27";CET;115169;10828329.40;94.60;
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;12.56;12.56;12.13;12.40;" 16:28";CET;4307341;53229861.28;12.40;
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;3.50;3.60;3.28;3.54;" 16:25";CET;388000;1337636.32;3.54;
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5.20;5.20;5.09;5.19;" 16:25";CET;185100;948788.03;5.19;
"AYFIE INTERNATIONA";NO0012861683;AIX;"Euronext Growth Oslo";NOK;3.50;3.82;3.50;3.82;" 13:48";CET;1593;5607.50;3.82;
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;23.55;23.60;23.00;23.55;" 16:25";CET;487248;11370919.84;23.55;
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;437.60;449.60;434.20;449.60;" 16:26";CET;88873;39716199.60;449.60;
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;47.00;47.00;47.00;47.00;" 11:16";CET;2109;99123.00;47.00;
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;0.605;0.66;0.60;0.60;" 15:28";CET;78859;47369.95;0.60;
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;3.25;3.56;3.24;3.30;" 16:25";CET;61668;203866.94;3.30;
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;17.90;17.92;17.36;17.80;" 16:25";CET;315991;5576267.46;17.80;
"BEWI INVEST";NO0013711721;BINT;"Oslo Børs";NOK;25.20;27.60;25.20;25.50;" 16:18";CET;30884;787937.10;25.50;
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;156.00;156.00;156.00;156.00;" 09:00";CET;5;780.00;156.00;
"BLACK SEA PROPERTY";NO0013685750;BSP;"Euronext Growth Oslo";NOK;3.80;3.80;3.80;3.80;" 12:21";CET;3352;12737.60;3.80;
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;587.00;595.00;581.00;585.00;" 16:29";CET;226334;133185850.00;585.00;
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;258.50;261.50;255.50;260.50;" 16:25";CET;28641;7426125.50;260.50;
BORGESTAD;NO0013256180;BOR;"Oslo Børs";NOK;16.10;16.50;16.10;16.50;" 14:46";CET;1164;18868.10;16.50;
"BORR DRILLING";BMG1466R1732;BORR;"Euronext Growth Oslo";NOK;57.53;59.96;56.05;59.96;" 16:25";CET;46004;2700866.00;59.96;
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;144.40;144.40;141.60;142.80;" 16:25";CET;194813;27821097.00;142.80;
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;45.50;45.65;44.65;45.50;" 16:25";CET;138759;6274948.10;45.50;
BRUTON;NO0013036814;BRUT;"Euronext Growth Oslo";NOK;60.60;61.00;59.00;59.80;" 16:25";CET;83720;5021132.20;59.80;
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;56.50;57.10;55.00;55.40;" 16:25";CET;65567;3656330.30;55.40;
